Messaging and Web of Data : Private meets Public (and vice-versa);The growing amount of public available data on the WWW is a new opportunity to improve Messaging systems (e.g. Email, Social Media, Instant Messaging) in multiple forms, such as messages content, processing (classification, etc.) and presentation;17
MSND : Workshop on Mining Social Networks Dynamics;MSND aims at gathering researchers from the fields of social computing, machine learning, and data mining to think about the obstacles that hurdle the leveraging of understanding and capturing of social network dynamics;17
SIMPLEX : Simplifying Complex Networks for Practitioners ;"Network science, sometimes also called ""complex networks science"", has recently attracted much attention from the scientific community, mainly due to the almost ubiquitous presence of complex networks in real-world systems";17
DiversiWeb 2012;We aim to address a wide array of interdisciplinary questions around knowledge diversity on the Web, which need to be tackled in order to preserve the fragile balance between a world that is continually converging and growing together, the rich diversity of the global society, and the dangers of fragmentation and splintering;17
TempWeb : Second Temporal Web Analytics Workshop;The objective of this workshop is to provide a venue for researchers of all domains (IE/IR, Web mining etc.) where the temporal dimension opens up an entirely new range of challenges and possibilities;17
Dec3D2012 : Declarative 3D for the  Architecture;The aim of the workshop is to encourage researchers from both the Web and 3D graphics communities to meet and talk about an integration of interactive 3D graphics capabilities into the Web technology stack;17
Linked Learning 2012 : 2nd International Workshop on Learning and Education with the  of Data;This workshop will provide a forum to discuss approaches making use of Web Data resources and technologies, especiallyÊLinked Data, for teaching, learning and education.Ê;17
AdMIRE 2012 : The Web of Music Ð 4th Workshop on Advances in Music Information Research;TheÊInternational Workshop on Advances in Music Information Research (AdMIRe)Êserves as a forum for theoretical and practical discussions of cutting edge research on Web technologies for music information research;17
SWCS : Semantic Web Collaborative Spaces ;Semantic Web Collaborative Spaces such as semantic wikis, semantic social networks,Êsemantic forums, etc. are social semantic software with the mission to bring together humanÊagents and software agents in order to foster knowledge-intensive collaboration, contentÊcreation and management, annotated multimedia collection management, social knowledgeÊdiffusion and formalising, and more generally speaking ontology-oriented content managementÊlife-cycle.;17
CrowdSearch : Crowdsourcing  Web search;Link analysis, that has shaped Web search technology in the last decade, can be seen as a massive mining of crowd-secured reputation associated with pages;17
WAC7: ACL SIG on Web as Corpus;More and more people are using Web data for linguistic and NLP research: the Web provides an easy source of linguistic data in a great variety of languages. However, a ÔcrawlÕ is not ready for exploration in the same way a traditional ÔcorpusÕ is. We need to turn a crawl into a corpus;17
PSOSM : Workshop on Privacy and Security in Online Social Media ;With increase in usage of the Internet, there has been an exponential increase in the use of online social media on the Internet. Websites like Facebook, YouTube, Orkut, Twitter and Flickr have changed the way Internet is being used;17
Xperience Web : Reasonning from Experiences on the Web;Advances in web technology has led to vast amounts of user generated web content in the form of blogs, reviews, opinions and social media interactions. Increasingly people search, browse and interact with other people and their experiences on travel, medicine, retail, entertainment etc for their informational and problem solving needs;17
W3C : CSS3;The goal of the tutorial is to explain the newest features of Cascading Style Sheets (CSS);16
W3C : Accessibility in tomorow's Web;Accessibility is essential for developers and organizations who want to create high quality websites and web tools, and not exclude people from using your online resources;16
The role of human-generated and automatically extracted lexico-semantic ressources in Web;This tutorial examines the role of knowledge from lexico-semantic resources, whether human-generated or automatically-extracted, in information retrieval in general, and Web search in particular;16
Large Scale Machine Learning and its Application to Web Information Management;Machine learning techniques have been widely used in web information management, such as document retrieval, text categorization, web page clustering, and social network analysis;16
Watson and the Deep QA architecture;Open domain Question Answering (QA) is a long standing research problem. Recently, IBM took on this challenge in the context of Jeopardy!, a well-known TV quiz show that has been airing on television in the United States for more than 25 years;16
W3C : HTML 5;The tutorial will present the main characteristics of HTML5;16
Enhancing Search Relevance : Machine Learning Techniques for Better Matching of Query and Document ;In this tutorial, we will give a systematic and detailed presentation on newly developed machine learning technologies for query document matching in search;16
W3C : Developing Mobile Web Applications;Participants to the tutorial will learn how to build applications for mobile devices using Web technologies;16
Location-Based Social Networks;In this tutorial, we first introduce and define the meaning of location-based social network (LBSN);16
Mining, Searching and Exploiting Collaboratively Generated Content on the Web;Proliferation of ubiquitous access to the Internet enables millions of Web users to collaborate online on a variety of activities;16
Practical Cross-Dataset Queries on the Web of Data;The web is developing into a platform for data exchange, as shown by the rise of web APIs, Microdata, Schema.org, FacebookÕs Open Graph Protocol, and the Linked Open Data Cloud;16
Querying and Exchanging XML and RDF on the Web;This tutorial is intended to benet researchers and system designers in the broad area of scalable query engines for XML and RDF;16
Integrating and Ranking Aggregated Content on the Web;In this tutorial, we will present the core problems associated with content aggregation, which include: sources of predictive evidence, sources of training data, relevance modelling, and evaluation;16
The Web of Things;The tutorial on Web of Things will discuss the vertical of the system by identifying the relevant components, illustrating their functionality and showing existing tools and systems;16
Digital Advertising and Marketing: A review of three generations;Over the past 15 years online advertising, a $65 billion industry worldwide in 2010, has been pivotal to the success of the World Wide Web;16
W3C Tutorial: Open Data in Practice;This tutorial aims to help participants understand that breadth and potential of government open data. It also will give them an appreciation for the complications of dealing with this data from a variety of organisations in varying formats and levels of quality;16
